Name,School,Date,Time,Timezone,Format,Description,Location,Registration URL
Top Business Schools Present San Diego,Wharton,7/23/2026,18:00,America/Los_Angeles,In-Person,Explore MBA program options at this multi-school event in San Diego.,THE WESTIN GASLAMP QUARTER SAN DIEGO,
Clear Admit MBA Fair 2026,Booth,5/11/2026,00:00,America/New_York,In-Person,Meet with Booth admissions staff at the Clear Admit MBA Fair in Atlanta.,Atlanta,
Zoom in on Booth: Frequently Asked Questions Webinar (Virtual),Booth,5/12/2026,00:00,America/Chicago,Virtual,Participate in a virtual FAQ session about the Booth MBA program.,Online,
Top Business Schools Present in Chapel Hill,Booth,5/14/2026,00:00,America/New_York,In-Person,Connect with top business schools at this admissions event in Chapel Hill.,Chapel Hill,
Top Business Schools Present: Trailblazing the Path to Business School,Booth,5/15/2026,00:00,America/Chicago,Virtual,Learn about the path to business school in this virtual session.,Online,
The Booth Exchange: Student Insights (Virtual),Booth,5/20/2026,00:00,America/Chicago,Virtual,Get candid insights from current Booth students in this virtual exchange session.,Online,
Clear Admit: MBA Application Overview (Virtual),Booth,5/20/2026,00:00,America/Chicago,Virtual,Join Clear Admit for a virtual overview of the MBA application process.,Online,
MBAFair Israel,Booth,5/27/2026,00:00,Asia/Jerusalem,In-Person,Meet with Booth representatives at the MBA fair in Tel Aviv.,Tel Aviv-Yafo,
Top Business Schools Present in Brussels,Booth,5/30/2026,00:00,Europe/Brussels,In-Person,Connect with admissions staff during this multi-school event in Brussels.,Brussels,
Zoom in on Booth Webinar,Booth,6/3/2026,00:00,America/Chicago,Virtual,Join a virtual session to learn about the Chicago Approach and program values.,Online,
Let's Talk Booth: Online with Admissions,Booth,6/9/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,6/11/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Top Business Schools Present: The Value of an MBA,Booth,6/17/2026,00:00,America/Chicago,Virtual,Learn about the value of an MBA degree in this virtual information session.,Online,
Let's Talk Booth: Online with Admissions,Booth,6/25/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,6/29/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,7/1/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,7/7/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Zoom in on Booth: Mythbusting the MBA Webinar (Virtual),Booth,7/9/2026,00:00,America/Chicago,Virtual,Join a virtual session to debunk common myths about the MBA experience.,Online,
Let's Talk Booth: Online with Admissions,Booth,7/13/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,7/15/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Let's Talk Booth: Online with Admissions,Booth,7/17/2026,00:00,America/Chicago,Virtual,Talk online with admissions staff to learn more about the Booth MBA program.,Online,
Your MBA Journey Starts Here Full-Time Program & Admissions Overview,Kellogg,5/5/2026,11:00,America/Chicago,Virtual,This online session provides an overview of the Kellogg full-time MBA program and admissions process.,Online,
Evening and Weekend MBA Workshop Application Demo and Tips,Kellogg,5/5/2026,12:00,America/Chicago,Virtual,Join this workshop for a demo of the evening and weekend MBA application and helpful tips.,Online,
Virtual Chat with a Chicago Student Archana Agnihotri,Kellogg,5/6/2026,12:00,America/Los_Angeles,Virtual,Chat virtually with an Executive MBA student about their experience at the Kellogg Chicago campus.,Online,
Virtual Student Chat with Bruna Farah Giberti,Kellogg,5/6/2026,12:00,America/Chicago,Virtual,Join a virtual chat with an evening and weekend MBA student to learn about student life.,Online,
Full-Time MBA Campus Visit,Kellogg,5/8/2026,08:45,America/Chicago,In-Person,Visit the Evanston campus to experience the Kellogg full-time MBA program in person.,Evanston,
Clear Admit MBA Fair 2026 Atlanta,Kellogg,5/11/2026,17:00,America/New_York,In-Person,Meet Kellogg admissions representatives at the 2026 Clear Admit MBA Fair in Atlanta.,Atlanta,
Virtual Chat with a Miami Student Lia Marley,Kellogg,5/13/2026,11:30,America/New_York,Virtual,Connect virtually with an Executive MBA student based at the Kellogg Miami campus.,Online,
Tampa Get to Know Kellogg,Kellogg,5/13/2026,18:00,America/New_York,In-Person,Attend this information session in Tampa to learn more about the Kellogg MBA programs.,Tampa,
Virtual Student Chat with Vishesh Chandra,Kellogg,5/14/2026,17:00,America/Chicago,Virtual,Chat with an evening and weekend MBA student about their professional and academic journey.,Online,
Top Business Schools Present in Chapel Hill,Kellogg,5/14/2026,18:30,America/New_York,In-Person,Join representatives from top business schools for an admissions presentation in Chapel Hill.,Chapel Hill,
Full-Time MBA Campus Visit,Kellogg,5/15/2026,08:45,America/Chicago,In-Person,Tour the Evanston campus and learn about the Kellogg full-time MBA program.,Evanston,
Top Business Schools Present Trailblazing the Path to Business School,Kellogg,5/15/2026,11:00,America/New_York,Virtual,This virtual event features top business schools discussing paths to an MBA degree.,Online,
Kellogg Evening & Weekend MBA On-Campus Preview Day,Kellogg,5/16/2026,09:30,America/Chicago,In-Person,Experience the evening and weekend MBA program during a preview day on the Chicago campus.,Chicago,
Exploring Specialized MBAs One-Year MMM MBAi JD-MBA,Kellogg,5/19/2026,12:00,America/Chicago,Virtual,Learn about specialized MBA programs at Kellogg including the One-Year and JD-MBA options.,Online,
Webinar Kellogg Executive MBA Overview with Admissions,Kellogg,5/20/2026,12:00,America/Chicago,Virtual,Join admissions officers for an online overview of the Kellogg Executive MBA program.,Online,
Virtual Student Chat with Jennifer Huang,Kellogg,5/26/2026,16:00,America/Chicago,Virtual,Connect with a current student to discuss the Kellogg evening and weekend MBA experience.,Online,
Admissions Insights Leadership & Fit Through the Kellogg Lens,Kellogg,5/26/2026,18:00,America/Chicago,In-Person,Attend this Chicago session to learn about leadership and fit for the evening and weekend MBA.,Chicago,
Admissions Insights Leadership & Fit Through the Kellogg Lens,Kellogg,5/26/2026,18:00,America/Chicago,In-Person,Gain insights into the Kellogg Executive MBA program during this leadership and fit session.,Chicago,
Evening & Weekend MBA Virtual Information Session,Kellogg,5/28/2026,12:00,America/Chicago,Virtual,This virtual session provides an overview of the evening and weekend MBA program at Kellogg.,Online,
Virtual Discussion Shared Success - A Study Teams' Journey through Collaboration,Kellogg,5/29/2026,12:00,America/Chicago,Virtual,Learn about collaboration and study teams in the Kellogg Executive MBA program.,Online,
Top Business Schools Present in London,Kellogg,6/1/2026,18:30,Europe/London,In-Person,Meet with admissions representatives from top business schools at this event in London.,London,
Top Business Schools Present in Paris,Kellogg,6/2/2026,19:00,Europe/Paris,In-Person,Join top business schools for an informational admissions presentation in Paris.,Paris,
Virtual Student Chat with Sabah Chowdhury,Kellogg,6/3/2026,13:00,America/Chicago,Virtual,Chat with a current evening and weekend MBA student about their experience at Kellogg.,Online,
Top Business Schools Present in Madrid,Kellogg,6/3/2026,18:00,Europe/Madrid,In-Person,Attend a presentation in Madrid featuring admissions representatives from top business schools.,Madrid,
Evening & Weekend MBA Workshop Acing the Admissions Interview,Kellogg,6/4/2026,12:00,America/Chicago,Virtual,This workshop provides strategies for acing the admissions interview for the Kellogg MBA.,Online,
Top Business Schools Present in Milan,Kellogg,6/4/2026,18:00,Europe/London,In-Person,Connect with top business schools during this admissions presentation in Milan.,Milan,
Top Business Schools Present in Philadelphia,Kellogg,6/8/2026,18:00,America/New_York,In-Person,Join top business schools for an admissions event in Philadelphia.,Philadelphia,
Virtual Student Chat with Darshan Patel,Kellogg,6/10/2026,12:00,America/Chicago,Virtual,Chat virtually with an evening and weekend MBA student about life at Kellogg.,Online,
Kellogg in Chicago Full-Time MBA Faculty Masterclass + Networking,Kellogg,6/10/2026,18:00,America/Chicago,In-Person,Attend a faculty masterclass and networking session for the full-time MBA in Chicago.,Chicago,
Kellogg in Boston Full-Time MBA Faculty Masterclass + Networking,Kellogg,6/11/2026,18:00,America/New_York,In-Person,Experience a masterclass with Kellogg faculty and network with prospective students in Boston.,Boston,
Evening & Weekend MBA Virtual Information Session,Kellogg,6/17/2026,12:00,America/Chicago,Virtual,This online session covers the Kellogg evening and weekend MBA program details.,Online,
Top Business Schools Present in Denver,Kellogg,6/22/2026,18:00,America/Denver,In-Person,Join top business schools for an informational admissions event in Denver.,Denver,
Top Business Schools Present in Salt Lake City,Kellogg,6/23/2026,18:00,America/Denver,In-Person,Meet representatives from top business schools during this event in Salt Lake City.,Salt Lake City,
On-Campus Evening & Weekend MBA Information Session,Kellogg,6/24/2026,17:30,America/Chicago,In-Person,Attend an information session for the evening and weekend MBA on the Chicago campus.,Chicago,
Top Business Schools Present in Houston,Kellogg,7/6/2026,18:00,America/Chicago,In-Person,Connect with top business schools at this admissions presentation in Houston.,Houston,
Top Business Schools Present in Austin,Kellogg,7/7/2026,18:00,America/Chicago,In-Person,Join top business schools for an informational session in Austin.,Austin,
Top Business Schools Present in Dallas,Kellogg,7/8/2026,18:00,America/Chicago,In-Person,Meet admissions officers from top business schools at this presentation in Dallas.,Dallas,
Top Business Schools Present in Chicago,Kellogg,7/13/2026,18:00,America/Chicago,In-Person,Attend an informational event in Chicago featuring several top business schools.,Chicago,
Top Business Schools Present in Detroit,Kellogg,7/15/2026,18:00,America/New_York,In-Person,Join representatives from top business schools for a presentation in Detroit.,Detroit,
Kellogg Evening & Weekend MBA On-Campus Preview Day,Kellogg,8/8/2026,09:30,America/Chicago,In-Person,Explore the evening and weekend MBA program during a preview day on the Chicago campus.,Chicago,
Kellogg Executive MBA Preview Day in Chicago,Kellogg,9/12/2026,09:00,America/Chicago,In-Person,Attend this preview day in Chicago to learn about the Kellogg Executive MBA program.,Chicago,
Kellogg Executive MBA Preview Day in Miami,Kellogg,9/26/2026,09:00,America/New_York,In-Person,Experience the Kellogg Executive MBA program during a preview day in Coral Gables.,Coral Gables,
Kellogg Evening & Weekend MBA On-Campus Preview Day,Kellogg,11/14/2026,09:30,America/Chicago,In-Person,Join Kellogg for an on-campus preview day for the evening and weekend MBA in Chicago.,Chicago,
Kellogg Executive MBA Preview Day in Chicago,Kellogg,2/20/2027,09:00,America/Chicago,In-Person,Preview the Kellogg Executive MBA program during this on-campus event in Chicago.,Chicago,
Kellogg Executive MBA Preview Day in Miami,Kellogg,3/6/2027,09:00,America/New_York,In-Person,Learn about the Executive MBA program at Kellogg during a preview day in Miami.,Coral Gables,
Kellogg Evening & Weekend MBA On-Campus Preview Day,Kellogg,5/15/2027,09:30,America/Chicago,In-Person,Experience the Kellogg evening and weekend MBA program during this Chicago preview day.,Chicago,
